,multi_color,participant,90,180
0,Monochrome,663,1365.3592307692318,2864.344628099175
1,Monochrome,4227,1401.0565891472877,1529.510619469027
2,Monochrome,7341,1407.2657894736842,1180.744537815127
3,Monochrome,7661,604.7386554621847,547.6420560747667
4,Monochrome,7971,1320.21954887218,1081.8285714285723
5,Monochrome,9477,706.4838235294118,969.8744186046519
6,Monochrome,9505,1262.2292307692314,1768.728125
7,Monochrome,9577,2717.8537815126047,4881.845631067961
8,Monochrome,10445,3062.9909774436105,4092.1929133858257
9,Monochrome,10485,2943.359090909092,4012.4489795918375
10,Monochrome,10519,1816.1189781021899,2740.6165467625906
11,Monochrome,10539,1652.5115702479338,1770.4734513274332
12,Monochrome,10767,990.4413793103448,1103.8968421052632
13,Monochrome,10887,2382.4747747747747,3645.674166666665
14,Monochrome,10925,1619.7378151260511,1844.633333333333
15,Monochrome,10971,1717.6968992248053,1756.2083969465643
16,Monochrome,10973,1699.545794392523,1545.8106796116501
17,Monochrome,10977,1699.2836206896554,2138.59051724138
18,Monochrome,10991,1995.2608695652177,1885.377443609023
19,Monochrome,11031,778.0887999999999,856.7026315789477
20,Monochrome,11035,927.7433628318585,1034.588785046729
21,Monochrome,11041,2094.758870967743,3378.8770491803284
22,Monochrome,11045,2935.643750000001,3553.313333333333
23,Monochrome,11059,2032.1862903225822,1819.8628318584063
24,Monochrome,11061,1381.2753846153848,2461.3336
25,Monochrome,11069,2582.70573770492,4000.4389380530984
26,Monochrome,11071,624.4443478260869,763.6034782608689
27,Monochrome,11111,1347.5754098360658,1369.7701612903222
28,Multichrome,710,1697.4809523809517,1438.4822429906542
29,Multichrome,3542,1048.811320754717,1164.989898989899
30,Multichrome,8112,1223.0234375000005,1381.1549180327868
31,Multichrome,9604,3324.7412280701765,3904.173109243696
32,Multichrome,10576,1353.8422018348626,1964.3238532110088
33,Multichrome,10616,1761.2324999999992,2030.7881355932207
34,Multichrome,10678,622.511320754717,691.1339622641509
35,Multichrome,10708,2460.3300813008113,3435.1420168067216
36,Multichrome,10834,4450.103703703705,5817.4139130434805
37,Multichrome,10976,2043.2978494623637,1681.9293577981648
38,Multichrome,10980,1165.3306930693068,1359.343809523809
39,Multichrome,10990,3748.249565217393,5182.876576576578
40,Multichrome,11012,1947.0499999999995,2450.467346938775
41,Multichrome,11014,564.2776859504133,552.6258928571428
42,Multichrome,11016,3222.872881355932,3595.2104000000013
43,Multichrome,11020,4227.761904761905,3757.4554455445545
44,Multichrome,11028,3570.7817460317465,4470.895238095238
45,Multichrome,11030,3299.802542372882,3766.9455357142842
46,Multichrome,11060,1871.435245901639,2809.436206896551
47,Multichrome,11100,1474.658260869565,2268.2142857142853
48,Multichrome,11108,1110.01568627451,1764.1611650485438
49,Multichrome,11110,329.7752293577981,383.2865384615383
