,participant,multi_color,date,Delta
0,663,Monochrome,2021-10-31 12:22:20.307,1498.9853973299416
1,710,Multichrome,2021-10-22 11:46:11.233,-258.99870939029984
2,3542,Multichrome,2021-11-13 21:21:51.162,116.17857823518216
3,4227,Monochrome,2021-10-25 12:34:12.784,128.45403032174
4,7341,Monochrome,2021-11-06 11:23:21.864,-226.52125165855773
5,7661,Monochrome,2021-11-03 16:48:07.369,-57.096599387418564
6,7971,Monochrome,2021-11-01 08:42:29.224,-238.39097744360788
7,8112,Multichrome,2021-10-22 18:45:44.549,158.13148053278792
8,9477,Monochrome,2021-10-26 11:16:50.732,263.39059507523973
9,9505,Monochrome,2021-10-25 22:59:10.204,506.4988942307689
10,9577,Monochrome,2021-10-30 23:02:32.204,2163.991849555355
11,9604,Multichrome,2021-10-22 14:31:09.977,579.431881173522
12,10445,Monochrome,2021-10-23 12:53:36.581,1029.2019359422175
13,10485,Monochrome,2021-11-03 22:20:44.397,1069.0898886827467
14,10519,Monochrome,2021-10-23 12:47:19.939,924.4975686604002
15,10539,Monochrome,2021-10-28 11:28:03.374,117.96188107949979
16,10576,Multichrome,2021-11-01 23:55:16.211,610.4816513761477
17,10616,Multichrome,2021-11-09 15:26:57.066,269.5556355932197
18,10678,Multichrome,2021-10-28 20:51:48.849,68.62264150943372
19,10708,Multichrome,2021-10-29 14:23:17.795,974.8119355059093
20,10767,Monochrome,2021-11-07 23:13:19.375,113.45546279491919
21,10834,Multichrome,2021-10-22 17:55:42.269,1367.3102093397729
22,10887,Monochrome,2021-10-31 13:48:55.693,1263.1993918918897
23,10925,Monochrome,2021-11-07 16:01:19.478,224.89551820728343
24,10971,Monochrome,2021-11-05 10:00:36.124,38.51149772175836
25,10973,Monochrome,2021-11-08 18:58:16.411,-153.7351147808738
26,10976,Multichrome,2021-10-23 15:11:51.292,-361.36849166419984
27,10977,Monochrome,2021-11-03 21:04:13.275,439.30689655172455
28,10980,Multichrome,2021-11-08 21:03:41.520,194.01311645450255
29,10990,Multichrome,2021-10-22 15:06:18.665,1434.627011359185
30,10991,Monochrome,2021-10-28 14:12:39.927,-109.88342595619451
31,11012,Multichrome,2021-10-31 17:47:34.070,503.41734693877584
32,11014,Multichrome,2021-11-03 16:09:58.065,-11.651793093270271
33,11016,Multichrome,2021-11-07 11:53:37.115,372.33751864406486
34,11020,Multichrome,2021-11-01 13:23:17.408,-470.30645921735004
35,11028,Multichrome,2021-11-03 09:19:44.366,900.1134920634918
36,11030,Multichrome,2021-10-27 17:51:31.060,467.1429933414033
37,11031,Monochrome,2021-11-13 14:19:48.481,78.61383157894772
38,11035,Monochrome,2021-10-27 10:37:40.840,106.84542221487061
39,11041,Monochrome,2021-11-07 20:36:42.525,1284.118178212585
40,11045,Monochrome,2021-11-10 10:36:06.997,617.6695833333315
41,11059,Monochrome,2021-10-26 18:36:11.023,-212.32345846417252
42,11060,Multichrome,2021-11-03 21:16:18.498,938.0009609949118
43,11061,Monochrome,2021-11-13 10:29:17.096,1080.058215384615
44,11069,Monochrome,2021-10-27 18:59:17.928,1417.7332003481788
45,11071,Monochrome,2021-10-31 13:16:46.603,139.15913043478315
46,11100,Multichrome,2021-11-10 11:32:59.962,793.5560248447212
47,11108,Multichrome,2021-11-04 11:28:55.157,654.1454787740338
48,11110,Multichrome,2021-10-28 17:19:14.861,53.511309103740416
49,11111,Monochrome,2021-10-30 16:49:21.000,22.194751454256675
