,multi_color,participant,abs_rotation,mean_rotation_rt
0,Monochrome,663,90,1365.3592307692356
1,Monochrome,663,180,2864.344628099177
2,Monochrome,4227,90,1401.0565891472868
3,Monochrome,4227,180,1529.5106194690243
4,Monochrome,7341,90,1407.2657894736888
5,Monochrome,7341,180,1180.7445378151292
6,Monochrome,7661,90,604.7386554621862
7,Monochrome,7661,180,547.642056074766
8,Monochrome,7971,90,1320.219548872178
9,Monochrome,7971,180,1081.8285714285737
10,Monochrome,9477,90,706.483823529412
11,Monochrome,9477,180,969.8744186046531
12,Monochrome,9505,90,1262.2292307692323
13,Monochrome,9505,180,1768.728124999996
14,Monochrome,9577,90,2717.8537815126037
15,Monochrome,9577,180,4881.845631067979
16,Monochrome,10445,90,3062.9909774436214
17,Monochrome,10445,180,4092.192913385817
18,Monochrome,10485,90,2943.3590909090854
19,Monochrome,10485,180,4012.4489795918353
20,Monochrome,10519,90,1816.118978102195
21,Monochrome,10519,180,2740.6165467625847
22,Monochrome,10539,90,1652.5115702479363
23,Monochrome,10539,180,1770.4734513274382
24,Monochrome,10767,90,990.4413793103437
25,Monochrome,10767,180,1103.8968421052589
26,Monochrome,10887,90,2382.4747747747683
27,Monochrome,10887,180,3645.6741666666785
28,Monochrome,10925,90,1619.7378151260496
29,Monochrome,10925,180,1844.6333333333318
30,Monochrome,10971,90,1717.6968992248019
31,Monochrome,10971,180,1756.2083969465687
32,Monochrome,10973,90,1699.5457943925267
33,Monochrome,10973,180,1545.8106796116545
34,Monochrome,10977,90,1699.2836206896525
35,Monochrome,10977,180,2138.5905172413854
36,Monochrome,10991,90,1995.2608695652189
37,Monochrome,10991,180,1885.3774436090252
38,Monochrome,11031,90,778.0887999999985
39,Monochrome,11031,180,856.7026315789446
40,Monochrome,11035,90,927.7433628318569
41,Monochrome,11035,180,1034.5887850467288
42,Monochrome,11041,90,2094.7588709677425
43,Monochrome,11041,180,3378.8770491803293
44,Monochrome,11045,90,2935.643749999993
45,Monochrome,11045,180,3553.3133333333412
46,Monochrome,11059,90,2032.1862903225763
47,Monochrome,11059,180,1819.862831858401
48,Monochrome,11061,90,1381.2753846153814
49,Monochrome,11061,180,2461.333600000007
50,Monochrome,11069,90,2582.7057377049196
51,Monochrome,11069,180,4000.438938053093
52,Monochrome,11071,90,624.4443478260853
53,Monochrome,11071,180,763.6034782608664
54,Monochrome,11111,90,1347.5754098360683
55,Monochrome,11111,180,1369.770161290325
56,Multichrome,710,90,1697.4809523809524
57,Multichrome,710,180,1438.482242990656
58,Multichrome,3542,90,1048.8113207547167
59,Multichrome,3542,180,1164.9898989898993
60,Multichrome,8112,90,1223.0234375000002
61,Multichrome,8112,180,1381.1549180327859
62,Multichrome,9604,90,3324.7412280701715
63,Multichrome,9604,180,3904.1731092436894
64,Multichrome,10576,90,1353.842201834864
65,Multichrome,10576,180,1964.3238532110113
66,Multichrome,10616,90,1761.2325000000053
67,Multichrome,10616,180,2030.7881355932268
68,Multichrome,10678,90,622.511320754716
69,Multichrome,10678,180,691.1339622641525
70,Multichrome,10708,90,2460.3300813008104
71,Multichrome,10708,180,3435.1420168067125
72,Multichrome,10834,90,4450.1037037037195
73,Multichrome,10834,180,5817.413913043476
74,Multichrome,10976,90,2043.2978494623665
75,Multichrome,10976,180,1681.9293577981607
76,Multichrome,10980,90,1165.3306930693038
77,Multichrome,10980,180,1359.3438095238137
78,Multichrome,10990,90,3748.2495652174
79,Multichrome,10990,180,5182.876576576583
80,Multichrome,11012,90,1947.0499999999947
81,Multichrome,11012,180,2450.4673469387762
82,Multichrome,11014,90,564.2776859504131
83,Multichrome,11014,180,552.625892857143
84,Multichrome,11016,90,3222.8728813559287
85,Multichrome,11016,180,3595.2103999999936
86,Multichrome,11020,90,4227.761904761897
87,Multichrome,11020,180,3757.4554455445605
88,Multichrome,11028,90,3570.78174603176
89,Multichrome,11028,180,4470.895238095235
90,Multichrome,11030,90,3299.8025423728855
91,Multichrome,11030,180,3766.9455357142756
92,Multichrome,11060,90,1871.4352459016377
93,Multichrome,11060,180,2809.436206896555
94,Multichrome,11100,90,1474.6582608695626
95,Multichrome,11100,180,2268.214285714283
96,Multichrome,11108,90,1110.0156862745087
97,Multichrome,11108,180,1764.1611650485431
98,Multichrome,11110,90,329.77522935779893
99,Multichrome,11110,180,383.28653846153776
