,multi_color,participant,90,180
0,Monochrome,1,1178.3935714285715,1723.2532846715333
1,Monochrome,3,2066.9448,2075.72196969697
2,Monochrome,5,879.0684615384617,1049.0300000000007
3,Monochrome,8,1704.6656,1944.9465116279082
4,Monochrome,9,1174.4789915966387,1225.8067226890757
5,Monochrome,13,1197.8050847457637,1466.775409836066
6,Monochrome,17,2362.56129032258,2479.2884615384614
7,Monochrome,21,1151.7043165467624,1706.1059701492543
8,Monochrome,22,955.8321167883212,1388.5588235294117
9,Monochrome,23,676.9062015503877,644.388372093023
10,Monochrome,28,935.5250000000004,943.8073170731707
11,Monochrome,29,1588.6984848484867,2527.8104477611937
12,Monochrome,31,686.4271186440675,738.651785714286
13,Monochrome,34,2460.7984375000024,3465.087692307693
14,Monochrome,36,1128.5983739837402,1056.8475409836067
15,Monochrome,37,697.8587719298242,747.3370370370367
16,Monochrome,38,865.0379032258062,754.1991304347831
17,Monochrome,40,1504.0100719424452,1336.0359712230209
18,Monochrome,41,761.0043795620436,832.2323308270672
19,Monochrome,42,1882.192913385827,3148.7438596491243
20,Monochrome,43,2691.380714285714,3408.8021582733845
21,Monochrome,48,1080.6308943089434,1076.7619469026552
22,Monochrome,49,237.07194244604315,238.9326086956522
23,Monochrome,50,1196.1992805755403,2505.716393442623
24,Monochrome,52,238.6918518518517,230.36126760563388
25,Monochrome,53,1303.9488188976377,1279.0500000000004
26,Monochrome,54,717.734693877551,668.2362500000004
27,Monochrome,55,1212.8348148148154,2375.2696969696967
28,Monochrome,56,948.92380952381,1107.8058333333336
29,Monochrome,57,1507.3262711864406,1652.4793650793656
30,Monochrome,60,963.5744680851063,949.7769784172662
31,Monochrome,61,1357.513636363636,792.8788321167883
32,Monochrome,65,1251.0969696969703,1468.208196721312
33,Monochrome,66,1274.5172932330825,1740.7634328358206
34,Monochrome,67,2046.725423728814,2651.143548387097
35,Monochrome,68,365.9817307692305,377.5458715596328
36,Monochrome,69,1006.7855072463768,1724.2519379844964
37,Monochrome,72,1707.085826771654,1773.6726495726489
38,Monochrome,73,2152.695652173912,3185.987943262413
39,Monochrome,74,1036.7029702970297,966.4875
40,Monochrome,75,937.4398496240601,939.6804687500003
41,Monochrome,79,1791.8871559633023,1979.4263636363644
42,Monochrome,80,889.3431818181818,984.2379844961237
43,Monochrome,83,947.0396825396825,1232.3833333333334
44,Monochrome,85,674.9827067669177,817.2833333333335
45,Monochrome,90,1199.453383458646,1326.3139705882345
46,Monochrome,92,600.4401515151513,686.1908333333333
47,Monochrome,93,209.4661654135339,230.32357142857137
48,Monochrome,94,1234.8726562500003,1754.2017241379308
49,Monochrome,99,672.2697674418606,660.5812499999998
50,Monochrome,102,1019.5623762376238,1034.9797468354434
51,Monochrome,103,4195.935833333332,5232.251041666667
52,Monochrome,106,1302.8991228070172,1293.8785046728974
53,Monochrome,109,484.2638655462185,484.78404255319145
54,Monochrome,110,3118.8632478632476,4532.339047619046
55,Monochrome,113,1131.5327868852462,1192.9396039603967
56,Monochrome,114,3975.9784615384615,4443.155000000002
57,Monochrome,116,1029.6165413533838,1564.7764705882353
58,Monochrome,122,288.73823529411766,284.96116504854365
59,Monochrome,124,2085.157971014493,2792.0251798561158
60,Monochrome,125,1290.563909774436,1480.8333333333333
61,Monochrome,126,1114.658878504673,1124.2317757009353
62,Monochrome,127,1646.6733870967741,1765.1000000000006
63,Monochrome,128,1643.4911504424774,1472.0126984126985
64,Monochrome,129,519.6033057851241,481.694074074074
65,Multichrome,0,1578.2676691729323,1694.0799999999997
66,Multichrome,2,1507.9770992366416,1795.830833333334
67,Multichrome,4,1763.485593220339,1900.0344537815126
68,Multichrome,6,2062.9555555555557,2504.1508474576253
69,Multichrome,7,1428.4798507462685,2095.162686567164
70,Multichrome,10,847.2773437500003,830.0418604651157
71,Multichrome,11,1338.857142857143,1795.8790322580646
72,Multichrome,12,1559.9196581196575,1998.4622807017545
73,Multichrome,14,1684.624778761061,2731.252336448601
74,Multichrome,15,2929.4860294117643,3819.3554744525554
75,Multichrome,16,1036.0961240310078,923.8192982456144
76,Multichrome,18,998.2646616541357,1691.2913385826773
77,Multichrome,19,955.1194029850747,914.723880597015
78,Multichrome,20,557.8591666666666,624.3107438016527
79,Multichrome,24,2804.4230215827333,3805.9613138686145
80,Multichrome,25,1688.174137931035,2517.7964601769913
81,Multichrome,26,939.9559139784946,1037.7228915662652
82,Multichrome,27,1592.769565217391,1682.272463768116
83,Multichrome,30,822.4674157303369,801.3304761904765
84,Multichrome,32,465.7830188679244,497.37403846153836
85,Multichrome,33,1104.3166666666668,1441.1803278688521
86,Multichrome,35,662.663970588236,701.5071942446042
87,Multichrome,39,2335.5261538461546,3619.40756302521
88,Multichrome,44,771.7169117647059,720.8691056910569
89,Multichrome,45,901.4451612903225,1156.1089552238805
90,Multichrome,46,3789.9830645161287,3980.410317460318
91,Multichrome,47,2186.6090225563908,2309.7862595419847
92,Multichrome,51,90.95071428571427,91.22805755395682
93,Multichrome,58,1062.9477941176478,1190.8159090909091
94,Multichrome,59,1901.2537313432836,2503.175182481752
95,Multichrome,62,1044.705882352941,1098.8426229508198
96,Multichrome,63,1263.5083333333337,2127.0206106870232
97,Multichrome,64,2014.3580882352933,2733.751587301588
98,Multichrome,70,1331.2712871287126,1397.3556603773586
99,Multichrome,71,664.7411764705882,744.950495049505
100,Multichrome,76,411.87307692307684,488.8990825688072
101,Multichrome,77,965.7148148148148,879.4324074074071
102,Multichrome,78,1081.2672413793102,1176.7644067796614
103,Multichrome,81,696.2199999999999,718.1056603773588
104,Multichrome,84,1348.1829268292684,1590.9757009345788
105,Multichrome,86,529.3663636363634,628.5008695652174
106,Multichrome,87,2915.3709677419356,4753.984
107,Multichrome,88,2527.0829629629643,2331.0886363636346
108,Multichrome,89,1980.3568807339452,2860.794642857144
109,Multichrome,91,1271.9327433628318,1186.6080808080803
110,Multichrome,95,1605.7711864406779,2293.362068965517
111,Multichrome,96,1988.2058333333318,1764.9075471698113
112,Multichrome,97,1487.3093457943917,1942.190090090089
113,Multichrome,98,1323.2961240310083,2042.1478632478631
114,Multichrome,100,230.9463768115942,262.3970802919709
115,Multichrome,101,1882.3417266187046,2472.4258992805762
116,Multichrome,104,1267.1753731343283,1672.528461538462
117,Multichrome,105,1595.4889830508478,1587.8820512820507
118,Multichrome,107,2845.6583333333333,3100.3193277310925
119,Multichrome,108,1441.2214285714285,2047.3990990990987
120,Multichrome,111,2266.9399999999982,2331.097709923663
121,Multichrome,112,1651.251960784314,1408.9099999999996
122,Multichrome,115,1893.8824427480913,2055.348818897638
123,Multichrome,117,608.2154545454542,929.6303571428573
124,Multichrome,118,2170.6015999999995,2398.146564885496
125,Multichrome,120,806.0929292929294,707.1162790697674
126,Multichrome,121,1062.2170731707315,1325.0805309734517
127,Multichrome,123,2625.465384615385,2787.227007299271
