,participant,multi_color,date,Delta
0,0,Multichrome,2022-09-18 15:10:08.218,115.81233082706672
1,1,Monochrome,2022-09-18 16:55:09.094,544.8597132429609
2,2,Multichrome,2022-03-03 13:33:38.762,287.8537340966916
3,3,Monochrome,2022-03-03 13:26:13.730,8.777169696969395
4,4,Multichrome,2022-09-18 20:00:22.777,136.54886056117311
5,5,Monochrome,2022-09-18 21:09:39.902,169.961538461538
6,6,Multichrome,2022-03-03 13:33:24.991,441.1952919020723
7,7,Multichrome,2022-03-22 01:28:34.745,666.6828358208968
8,8,Monochrome,2022-03-22 10:49:36.992,240.28091162790747
9,9,Monochrome,2022-03-22 07:27:37.438,51.327731092437034
10,10,Multichrome,2022-03-03 13:56:22.892,-17.23548328488357
11,11,Multichrome,2022-03-03 13:27:17.704,457.02188940092174
12,12,Multichrome,2022-03-03 12:32:43.286,438.54262258209724
13,13,Monochrome,2022-03-03 13:29:33.328,268.97032509030237
14,14,Multichrome,2022-03-22 09:25:47.467,1046.6275576875348
15,15,Multichrome,2022-03-03 13:28:34.126,889.8694450407897
16,16,Multichrome,2022-03-03 14:27:17.970,-112.27682578539395
17,17,Monochrome,2022-09-18 15:36:46.406,116.72717121588221
18,18,Multichrome,2022-03-03 12:28:23.706,693.0266769285413
19,19,Multichrome,2022-03-03 13:30:25.956,-40.3955223880597
20,20,Multichrome,2022-03-03 14:21:21.231,66.45157713498679
21,21,Monochrome,2022-09-18 20:05:59.895,554.4016536024915
22,22,Monochrome,2022-09-18 19:39:17.023,432.72670674109054
23,23,Monochrome,2022-03-22 08:25:42.732,-32.51782945736488
24,24,Multichrome,2022-03-03 13:50:00.697,1001.5382922858785
25,25,Multichrome,2022-03-22 08:25:54.787,829.6223222459566
26,26,Multichrome,2022-03-03 14:08:25.548,97.76697758777061
27,27,Multichrome,2022-03-03 14:09:26.639,89.50289855072538
28,28,Monochrome,2022-09-18 14:25:28.330,8.282317073170248
29,29,Monochrome,2022-09-18 15:27:25.659,939.1119629127111
30,30,Multichrome,2022-03-03 13:26:41.771,-21.1369395398616
31,31,Monochrome,2022-09-18 21:32:03.974,52.224667070217606
32,32,Multichrome,2022-03-03 12:26:29.272,31.591019593613794
33,33,Multichrome,2022-03-03 14:43:39.269,336.86366120218554
34,34,Monochrome,2022-03-01 10:47:04.566,1004.2892548076929
35,35,Multichrome,2022-03-22 09:28:52.849,38.84322365636922
36,36,Monochrome,2022-09-18 15:29:50.814,-71.75083300013353
37,37,Monochrome,2022-09-18 19:56:38.834,49.47826510721222
38,38,Monochrome,2022-03-03 12:26:05.093,-110.83877279102398
39,39,Multichrome,2022-09-18 15:37:29.990,1283.881409179056
40,40,Monochrome,2022-03-03 14:30:47.011,-167.97410071942454
41,41,Monochrome,2022-03-03 12:28:25.451,71.22795126502399
42,42,Monochrome,2022-09-18 20:14:00.785,1266.5509462632963
43,43,Monochrome,2022-03-03 13:50:57.801,717.4214439876646
44,44,Multichrome,2022-03-22 08:31:47.994,-50.84780607364894
45,45,Multichrome,2022-03-01 11:49:08.150,254.66379393355805
46,46,Multichrome,2022-03-03 13:46:07.897,190.42725294418779
47,47,Multichrome,2022-03-03 13:38:20.252,123.17723698559394
48,48,Monochrome,2022-10-04 12:17:54.039,-3.8689474062880436
49,49,Monochrome,2022-09-18 20:35:36.747,1.860666249608954
50,50,Monochrome,2022-03-03 13:26:13.379,1309.5171128670831
51,51,Multichrome,2022-03-22 08:31:31.542,0.2773432682426318
52,52,Monochrome,2022-09-18 20:53:21.561,-8.330584246217796
53,53,Monochrome,2022-03-03 13:23:23.489,-24.89881889763751
54,54,Monochrome,2022-09-18 20:03:15.657,-49.498443877550926
55,55,Monochrome,2022-03-22 01:28:37.139,1162.434882154881
56,56,Monochrome,2022-03-03 13:26:15.731,158.88202380952362
57,57,Monochrome,2022-10-04 13:18:31.756,145.15309389292452
58,58,Multichrome,2022-03-22 10:35:22.347,127.86811497326312
59,59,Multichrome,2022-09-18 08:45:58.689,601.9214511384685
60,60,Monochrome,2022-03-22 08:33:33.574,-13.797489667840182
61,61,Monochrome,2022-09-18 15:25:08.687,-564.634804246848
62,62,Multichrome,2022-09-18 07:31:57.039,54.136740597878315
63,63,Multichrome,2022-03-03 13:28:46.956,863.5122773536884
64,64,Multichrome,2022-03-03 14:26:56.038,719.3934990662958
